#item,x,y,width,height,label
0,149.73,273.03,23.55,40.74,7
1,168.83,225.50,19.73,32.82,7
2,191.75,250.40,19.10,26.03,7
3,210.84,230.03,14.01,46.40,7
4,235.03,242.48,22.92,37.35,7
5,225.49,282.09,26.74,27.16,7
6,171.37,305.85,26.74,24.90,7
7,177.10,363.57,10.19,19.24,7
8,199.38,388.47,8.91,26.03,7
9,224.21,439.40,13.37,19.24,7
10,215.94,340.94,29.28,53.19,7
11,230.58,405.45,22.28,18.11,7
12,253.50,338.67,18.46,58.85,7
13,277.05,300.19,22.28,40.74,7
14,277.05,343.20,29.28,31.69,7
15,261.77,279.82,15.28,20.37,7
16,364.27,323.96,23.55,44.14,7
17,318.43,310.38,15.91,37.35,7
18,330.53,387.34,16.55,26.03,7
19,344.53,429.21,21.01,22.63,7
20,306.33,426.95,16.55,40.74,7
21,404.37,390.73,13.37,36.22,7
22,426.65,339.81,18.46,35.08,7
23,263.05,419.03,12.10,22.63,7
